Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
Mahindra KUV 100 k8 2022 29.000km!!✨️ ⛔️ on accepte l échange des voitures,1 DT,Mahindra,Autres,29000,01.2022,Essence,Manuelle,5,,,,Occasion,,Tunis,blanc,,,,,1.2,"✨️Mahindra KUV 100 k8 2022 29.000km!!✨️ ⛔️ on accepte l échange des voitures ⛔️ 29130012 / 53 100 007 <br />✔️ Entretien à jour 29.000km 1ere main peinture d origineVoiture idéale pour une utilisation quotidienne ou longs trajets, très agréable à conduire.<br />&#x1f4cd; Visible sur le grand Tunis.<br /> &#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012 / 53 100 007 <br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#mercedesbenz #A180 #mercedesa180 #Kia #sportage #toyota #toyotahilux #audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #BMW",2026-05-14,https://www.cava.tn/voitures/mahindra-kuv-100-k8-2022-29000km-on-accepte-l-change-des-voitures-991699
Polo sedan,24000 DT,Volkswagen,Polo,850,01.2016,Diesel,Manuelle,6,,,,Occasion,,Tunis,jaune,,,,,>4.0,<p>Volkswagen </p><p>Polo sedan série 188 </p><p>10 ans </p><p>Moteur golf 4 installer depuis 10 mois</p><p> Carte</p><p> 2 nouveau pneu </p><p>Etat carrosserie :bon état</p><p> bien conservé </p><p>Lili yheb yekseb min nharek zéro masrouf</p><p> Prix légèrement négociable</p><p> Pour les sérieux n&#39;hésitez pas à me contacter </p><p>pour plus d&#39;info 58 654 189</p>,2026-05-14,https://www.cava.tn/voitures/polo-sedan-991695
Volkswagen Touareg Diesel TDI V6 2010 🇩🇪 ⛔️ on accepte l échange des voitures,1 DT,Volkswagen,Touareg,280000,01.2011,Diesel,Automatique,17,,,,Occasion,,Tunis,gris,,,,,3.0,"&#x1f1e9;&#x1f1ea; Volkswagen Touareg Diesel TDI V6 2010 &#x1f1e9;&#x1f1ea; ⛔️ on accepte l échange des voitures ⛔️ 29130012 / 53 100 007 <br />✔️ Entretien à jour 280.000kmVoiture idéale pour une utilisation quotidienne ou longs trajets, très agréable à conduire.<br />&#x1f4cd; Visible sur le grand Tunis.<br /> &#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012 / 53 100 007 <br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#mercedesbenz #A180 #mercedesa180 #Kia #sportage #toyota #toyotahilux #audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #BMW",2026-05-14,https://www.cava.tn/voitures/volkswagen-touareg-diesel-tdi-v6-2010-on-accepte-l-change-des-voitures-991694
🇩🇪 Porsche Panamera essence V6 2011 🇩🇪 ⛔️ on accepte l échange des voitures,1 DT,Porsche,Panamera,180000,01.2012,Diesel,Automatique,15,,,,Occasion,,Tunis,noir,,,,,3.0,"&#x1f1e9;&#x1f1ea; Porsche Panamera essence V6 2011 &#x1f1e9;&#x1f1ea; ⛔️ on accepte l échange des voitures ⛔️ 29130012 / 53 100 007 ✔️ Entretien à jour 180.000kmVoiture idéale pour une utilisation quotidienne ou longs trajets, très agréable à conduire.<br />&#x1f4cd; Visible sur le grand Tunis.<br /> &#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012 / 53 100 007 <br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#mercedesbenz #A180 #mercedesa180 #Kia #sportage #toyota #toyotahilux #audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #BMW<br />",2026-05-14,https://www.cava.tn/voitures/-porsche-panamera-essence-v6-2011-on-accepte-l-change-des-voitures-991693
✨ Range Rover Discovry ✨️ ⛔️ on accepte l échange des voitures ⛔️,1 DT,Land Rover,Discovery,138000,01.2017,Essence,Automatique,15,,,,Occasion,,Tunis,beige,,,,,3.0,"✨ Range Rover Discovry ✨️ ⛔️ on accepte l échange des voitures ⛔️ 29130012<br />▶ 1ere main ◀ ▶ Modele : 2017▶ Kilométrage : 138.000 km certifié▶ Puissance fiscale : 15CV▶ Energie : Essence⛽️&#x1f4f7; camera de recule,,, <br />&#x1f4ab;On accepte l&#39;échange des voitures 29130012/ &#xfffc;⁨53 100 007⁩ &#x1f698; Affaire Auto Rte la marsa sidi dawed GP9 en face carrefour a côté BH bank &#64;followers",2026-05-14,https://www.cava.tn/voitures/-range-rover-discovry-on-accepte-l-change-des-voitures--991692
Mercedes-Benz C180 2013 Essence 💥 ⛔️ on accepte l échange des voitures ⛔️,1 DT,Mercedes,Classe C,199000,01.2013,Essence,Automatique,9,,,,Occasion,,Tunis,noir,,,,,1.6,&#x1f4a5; Mercedes-Benz C180 2013 Essence &#x1f4a5; ⛔️ on accepte l échange des voitures ⛔️ 29130012<br />▶ avant-garde ◀ seri 174▶ Modele : 2013▶ Kilométrage : 199.000 km certifié▶ Boite Automatique 9cv 1.6▶ Sièges en cuir ▶ Volant multifonction▶ bien entretenue<br />&#x1f4ab;On accepte l&#39;échange des voitures 29130012/ 53 100 007 &#x1f698; Affaire Auto Rte la marsa sidi dawed GP9 en face carrefour a côté BH bank &#x1f698;,2026-05-14,https://www.cava.tn/voitures/mercedes-benz-c180-2013-essence-on-accepte-l-change-des-voitures--991691
Audi A5 S-line 1.4 essence 2022 série 226🚘 🔁 on accepte l échange des voitures,1 DT,Audi,Audi A5,99000,01.2022,Essence,Automatique,8,,,,Occasion,,Tunis,gris,,,,,1.4,"&#x1f698;Audi A5 S-line 1.4 essence 2022 série 226&#x1f698; &#x1f501; on accepte l échange des voitures <br />&#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012<br />✅ Détails du véhicule :Année : 2022..Première main99. 000 km 1.4 ... peinture d origine<br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #ÉchangeVoiture #VoitureEssence #SUVTunisie #BonneAffaire #PremièreMain",2026-05-14,https://www.cava.tn/voitures/audi-a5-s-line-14-essence-2022-srie-226-on-accepte-l-change-des-voitures-991689
AUDI A4,0 DT,Audi,Audi A4,170000,01.2013,Essence,Manuelle,7,,,,Neuf,,Ariana,blanc,,,,,1.8,&#x1f514; AUDI A4 <br /> ✔︎ Vente ✔︎ Achat ✔︎ Échange <br />&#x1f6a9; Page Facebook : SK CARS<br />&#x1f6a9; Aᴅʀᴇssᴇ: ariana riadh el andalous <br />☎️ &#x1d5d6;&#x1d5fc;&#x1d5fb;&#x1d601;&#x1d5ee;&#x1d5f0;&#x1d601; 20 873 862<br />✅année 2013✅boite manuelle✅essence✅7 cv✅1.8 L✅KLM 170. 000,2026-05-14,https://www.cava.tn/voitures/audi-a4-991688
Kia picanto première main,0 DT,Kia,Picanto,20000,01.2024,Essence,Manuelle,4,,,,Neuf,,Tunis,gris,,,,,1.0,"<br /><br /><br /><br />Je mets en vente Kia picanto première main, comme neuf encore sous garantie sans aucune retouche,entretenue régulièrement chez maison kia (les factures disponibles)avec les caractéristiques suivant :<br /> *Mise en circulation : 2024 *Kilométrage :20,000 km *Puissance : 04 cv *Consommation mixte : 4,8L/100km●ÉQUIPEMENTS *Aide de demmarage en Côte HAC *Allumage automatique des feux *Climatisation manuelle *Direction assistée *Fermeture centralisée *Vitre électrique avant/arrière*Volant réglable en hauteur●ÉQUIPEMENTS INTÉRIEUR *Auto radio :Commande au volant *Connectivite : USB/Aux/Bluetooth *Volant multifonction fonctions●ÉQUIPEMENTS DE SÉCURITÉ *ABS *Airbag frontaux *Anti patinage : ESPVoiture à l&#39;état du neuf pour plus information contacter 22 618 980 <br /><br /><br /><br /><br /><br />",2026-05-14,https://www.cava.tn/voitures/kia-picanto-premire-main-991686
🚨 Offre à ne pas rater 🚨,32000 DT,Mg,Autres,32000,01.2025,Essence,Automatique,9,,,,Neuf,,Tunis,noir,,,,,1.5,"&#x1f6a8; Offre à ne pas rater &#x1f6a8; Départ à l etranger je céde une exelente &#x1f699; MG One Luxury BVA neuve Fulls options ✅ Transfert Dossier Leasing ou comptant<br />➡️ Age 15 mois / 32,000 km ( entretient maison ) <br />&#x1f4b0; Prix transfert de dossier : 32,000 Fixe ( 51,000 deja payé ) <br />&#x1f4b0; Possible de l acheter comptant : 95,000 DT <br />&#x1faac; Voiture neuve etat maison <br />&#x1f4cd; Disponible à laouina <br />&#x1f4de;Tel : 28 345 485",2026-05-14,https://www.cava.tn/voitures/-offre-ne-pas-rater--991684
