Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
VOLKSWAGEN PASSAT 2.0 FSI,24000 DT,Volkswagen,Passat 2.0 Fsi,186092,3.2007,Essence,Manuelle,,,,,,,Tunis,Gris,Noir,,,5,,"ABS, Bluetooth, Direction assistée, ESP, Vitres électriques",18.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141018203459
CITROEN C3,16400 DT,Citroen,C3,190000,11.2007,Essence,Manuelle,,,,,,,Tunis,Noir,,,,5,,,18.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141018165503
DACIA DUSTER 1.5DCI 4*4,40000 DT,Dacia,Duster 1.5Dci 4*4,85000,10.2012,Diesel,Manuelle,,,,,,,Gabes,Noir,Noir,,,4,,,18.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141018131801
RENAULT CLIO CLAASIC,11300 DT,Renault,Clio Claasic,264000,6.2003,Essence,Manuelle,,,,,,,Manouba,Noir,,,,5,,,17.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141017212445
PEUGEOT 106 1ACDZ2,6800 DT,Peugeot,106 1Acdz2,263880,10.1995,Essence,Manuelle,,,,,,,Manouba,Blanc,Bleu,,,4,,,16.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141016225401
FIAT PANDA,14300 DT,Fiat,Panda,104000,11.2005,Essence,Manuelle,,,,,,,Nabeul,Noir,Gris,,,5,,,16.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141016220547
FIAT PUNTO GRANDE PUNTO,20300 DT,Fiat,Punto Grande Punto,95000,8.2011,Essence,Manuelle,,,,,,,Tunis,Gris,Noir,,,5,,ABS,16.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141016181259
MERCEDES CLASSE C 220,27000 DT,Mercedes,Classe C 220,260000,6.2000,Diesel,Manuelle,,,,,,,Nabeul,Bleu,Beige,,,4,,,16.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141016141902
CITROEN JUMPER,29000000 DT,Citroen,Jumper,140000,1.2008,Diesel,Manuelle,,,,,,,Monastir,Blanc,Gris,,,3,,,16.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141016075930
CITROEN BERLINGO VAN TDI,13000 DT,Citroen,Berlingo Van Tdi,110000,1.2004,Diesel,Manuelle,,,,,,,Sidi Bouzid,Blanc,Blanc,,,2,,,15.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141015185827
PEUGEOT 505 BREAK,7500 DT,Peugeot,505 Break,700000,1.1990,Diesel,Manuelle,,,,,,,Siliana,Rouge,Noir,,,5,,,15.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141015024528
PEUGEOT 505 BREAK,7500 DT,Peugeot,505 Break,700000,1.1990,Diesel,Manuelle,,,,,,,Siliana,Rouge,,,,5,,,15.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141015000236
MAZDA B 2500 BT50,34500 DT,Mazda,B 2500 Bt50,150000,4.2008,Diesel,Manuelle,,,,,,,Mahdia,Gris,Noir,en,,4,,"ABS, Airbags frontaux, Airbags latéraux, Climatisation, Direction assistée, Fermeture centralisée, Radar de recul, Vitres électriques",14.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141014193838
PEUGEOT 407,21000 DT,Peugeot,407,146000,5.2009,Diesel,Manuelle,,,,,,,Manouba,Gris,Gris,,,5,,,12.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141012192124
RENAULT CLIO ESTATE,21000 DT,Renault,Clio Estate,117000,4.2010,Essence,Manuelle,6,,,,,,Gabes,Gris,,,,5,,"Direction assistée, Fermeture centralisée, Ordinateur de bord, Vitres électriques",12.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141012105322
FIAT TOLEDO,18500 DT,Fiat,Toledo,114000,1.2009,Essence,Manuelle,,,,,,,Tunis,Bleu,Bleu,,,4,,"ABS, Airbags frontaux, Direction assistée, Ordinateur de bord",11.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141011151528
MERCEDES CLASSE ML 270,23500 DT,Mercedes,Classe Ml 270,230,1.2000,Diesel,Automatique,,,,,,,Sousse,Noir,Noir,,,4,,,10.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141010143800
BMW SERIE 6 650I,130000 DT,Bmw,Serie 6 650I,88000,7.2010,Essence,Automatique,,,,,,,Ariana,Noir,Bordeaux,,,3,,"ABS, Direction assistée, ESP, Fermeture centralisée, GPS, Ordinateur de bord, Régulateur de vitesse, Sièges chauffants, Vitres électriques",09.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141009223851
FORD FOCUS,14000 DT,Ford,Focus,186000,10.2004,Essence,Manuelle,,,,,,,Ariana,Gris,,,,5,,,09.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141009041615
BMW SÉRIE 3,21500 DT,Bmw,Série 3,152000,8.2001,Essence,Manuelle,,,,,,,Manouba,Noir,Noir,,,4,,"Direction assistée, Vitres électriques",08.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141008235843
RENAULT MEGANE MEGANE 2,19000 DT,Renault,Megane Megane 2,116000,1.2007,Essence,Manuelle,,,,,,,Sfax,Noir,,,,4,,"ABS, ESP, Ordinateur de bord, Vitres électriques",08.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141008225553
VOLVO S60 2.0T,29500 DT,Volvo,S60 2.0T,170000,12.2006,Essence,Automatique,,,,,,,Tunis,Noir,Beige,,,4,,"Airbags frontaux, Airbags latéraux, Climatisation, Direction assistée, Fermeture centralisée",07.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141007205129
VOLVO S60 2.0T,29500 DT,Volvo,S60 2.0T,170000,12.2006,Essence,Automatique,,,,,,,Tunis,Noir,Beige,,,4,,"Airbags frontaux, Airbags latéraux, Climatisation, Direction assistée, Fermeture centralisée",07.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141007205128
MINI ONE,32000 DT,Mini,One,80500,6.2009,Essence,Manuelle,,,,,,,Ariana,Beige,Gris,,,3,,,07.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141007151317
RENAULT CLIO 4,12500 DT,Renault,Clio 4,190000,2.1999,Essence,Manuelle,,,,,,,Tunis,Bleu,Beige,,,4,,Vitres électriques,06.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141006222604
ISUZU D MAX,30000 DT,Isuzu,D Max,300000,3.2008,Diesel,Manuelle,,,,,,,Kairouan,Blanc,Noir,,,2,,,06.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141006114050
RENAULT TALISMAN,7500 DT,Renault,Talisman,,1.1996,Essence,Manuelle,,,,,,,Sousse,Vert,Gris,,,2,,,04.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141004202309
MERCEDES 200 MERCEDES-BENZ 200D,4000 DT,Mercedes,200 Mercedes-Benz 200D,70000,10.1980,Diesel,Manuelle,,,,,,,Sousse,,,,,4,,,04.10.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=141004180000
